n,p,f,x,y,z,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,g1,g2,l1,l2,l3,l4,e1,e2,cent_price_cor,cent_trans_cor
926,0.6,0.4,10,10,6,1.9,0.14,1.1,0.1,4.3,0.12,2,0.13,2.2,0.2,4.6,0.26,0.162,1.7,0.073,1.3,0.071,1.8,0.8,1.7,-0.262,0.405
165,0.7,0.2,10,19,2,3.7,0.25,2,0.15,4.6,0.29,2.9,0.21,3.5,0.24,1.2,0.19,0.054,1.4,0.075,1.3,0.056,1.9,2.8,1.3,-0.285,0.417
870,0.5,0.4,10,26,9,2,0.27,4.7,0.1,4.6,0.21,1.6,0.15,3.8,0.22,4.4,0.14,0.149,1.6,0.038,1.1,0.081,1.7,1.8,1.8,-0.309,0.433
612,0.6,0.3,14,19,9,3.5,0.25,2.8,0.17,1.6,0.23,2.9,0.26,4.8,0.12,1.9,0.18,0.1,1,0.102,1.6,0.097,1.4,2.1,0.5,-0.108,0.551
806,0.6,0.3,16,12,9,2.9,0.18,1.5,0.26,1.9,0.19,2.6,0.28,3.5,0.29,4.6,0.19,0.189,1.3,0.175,0.5,0.099,1.2,2.6,2.8,-0.225,0.547
669,0.6,0.2,20,24,3,1.1,0.19,2.2,0.19,1.5,0.25,4.2,0.3,3.7,0.13,1.7,0.17,0.152,1.1,0.101,1.6,0.036,1.1,1.4,1.6,-0.275,0.577
667,0.9,0.2,19,15,2,2.1,0.22,2.8,0.2,4.3,0.22,3.8,0.3,3.9,0.22,3.5,0.16,0.183,1.5,0.11,0.5,0.096,1.1,1.3,0.8,-0.359,0.501
420,0.6,0.4,17,22,8,1,0.18,3.6,0.22,1.5,0.23,4.2,0.15,2.7,0.11,4.5,0.11,0.047,0.8,0.11,0.9,0.055,1,1.9,0.4,-0.204,0.322
170,0.5,0.4,30,20,9,3.3,0.15,2.3,0.29,1.4,0.19,3.6,0.25,2.5,0.29,3.8,0.25,0.043,1.8,0.162,1.1,0.095,1.8,2.3,2.9,-0.191,0.374
175,0.5,0.2,11,13,10,4,0.27,4.2,0.2,4.4,0.24,3.1,0.18,2.4,0.2,3.9,0.19,0.03,1.7,0.1,1.4,0.062,1.6,1.4,2.4,-0.2,0.327
979,0.8,0.4,23,18,6,3.7,0.2,1.5,0.11,2.9,0.12,3.1,0.12,1.1,0.14,4,0.27,0.084,1.5,0.178,0.8,0.062,1.6,2.2,2.5,-0.198,0.359
860,0.7,0.5,28,22,4,3.6,0.21,2.2,0.27,3.3,0.24,3.8,0.16,2.9,0.16,3.5,0.2,0.02,1.7,0.036,1.9,0.026,1.2,0.4,1.5,-0.067,0.141
856,0.6,0.5,17,15,2,4.6,0.15,3.2,0.18,3,0.25,3.7,0.19,3.4,0.3,1.5,0.25,0.065,0.9,0.08,1.6,0.096,1.9,0.3,0.7,-0.234,0.368
904,0.5,0.2,13,30,2,1.6,0.12,1.5,0.26,1,0.29,1.6,0.24,4.8,0.22,1.8,0.2,0.165,1.9,0.073,0.6,0,1.3,0.6,0.3,-0.108,0.383
804,0.9,0.2,28,20,8,2.8,0.14,3.8,0.19,4.6,0.14,1.8,0.21,1.9,0.18,4.6,0.14,0.04,1.8,0.067,1.7,0.017,1.8,0.2,2.6,-0.097,0.261
946,0.6,0.2,26,28,9,4.9,0.11,1.9,0.12,1.2,0.25,2.8,0.29,1.4,0.12,3.3,0.23,0.142,1,0.111,0.9,0.024,1.9,2.6,1.9,-0.106,0.358
376,0.5,0.5,14,29,10,3.6,0.2,3.4,0.13,3.9,0.25,1.6,0.3,2.9,0.18,4.8,0.24,0.065,1.1,0.022,1,0.038,1.1,1.7,0.8,-0.004,0.401
677,0.5,0.3,13,21,2,3.6,0.23,3,0.28,4.3,0.23,2.4,0.11,1.3,0.12,3.1,0.16,0.134,0.7,0.151,1,0.063,1.5,0.6,2.8,-0.238,0.457
728,0.8,0.4,30,20,5,3.3,0.24,2.4,0.13,2.2,0.29,3.7,0.24,4,0.21,1.7,0.21,0.036,1.2,0.096,1.3,0.01,1.1,0.5,1.1,-0.226,0.615
204,0.6,0.5,14,14,10,4.5,0.26,3.9,0.15,2.1,0.22,3.6,0.19,1.3,0.15,4.9,0.27,0.126,1.9,0.003,1.8,0.034,1.7,2.4,0.9,-0.306,0.464
355,0.7,0.5,25,11,5,4.6,0.1,3.8,0.29,4,0.28,3,0.11,1,0.24,3.7,0.12,0.102,0.9,0.029,1.8,0.047,1.4,3,2.3,-0.177,0.222
655,0.6,0.2,30,25,2,3.6,0.28,2.3,0.21,1.8,0.23,1.9,0.25,2.1,0.1,4.7,0.29,0.036,0.8,0.024,1.3,0.024,1.7,1.3,2.3,-0.079,0.244
440,0.9,0.4,18,15,1,4.5,0.26,1,0.19,1.2,0.26,3.1,0.11,2.6,0.12,2.4,0.24,0.173,1.9,0.174,0.5,0.096,0.6,2.6,1.6,-0.015,0.131
419,0.7,0.5,29,20,9,2.2,0.14,4.9,0.24,4.5,0.23,3.7,0.29,1.7,0.3,4.7,0.16,0.083,1.3,0.13,1.8,0.013,1.8,2.7,2,-0.195,0.369
715,0.6,0.5,10,13,5,3,0.25,4.2,0.21,4.1,0.16,1.5,0.14,2,0.29,2.9,0.19,0.072,1.6,0.059,0.7,0.027,1.7,1.8,1.6,-0.023,0.01
300,0.7,0.5,10,29,7,2.3,0.14,1.8,0.14,3.1,0.23,5,0.17,3.8,0.23,4.6,0.3,0.027,1.8,0.097,0.5,0.086,1.7,0.9,2.2,-0.089,0.16
458,0.9,0.3,14,24,1,2,0.16,3.6,0.23,1.8,0.15,3.2,0.27,3.8,0.22,4.4,0.1,0.011,1,0.178,0.6,0.079,1.6,0.7,2.4,-0.159,0.505
266,0.8,0.3,13,29,4,1.4,0.13,4.3,0.27,3,0.3,3.2,0.25,4.1,0.16,1,0.17,0.063,1.4,0.117,1.1,0.017,0.8,2.1,1.4,-0.089,0.194
768,0.8,0.3,26,23,5,3,0.18,2,0.17,4.7,0.25,3.9,0.3,4,0.3,1.5,0.16,0.081,1,0.031,2,0.093,0.5,1.9,1.7,-0.32,0.534
411,0.9,0.3,10,20,7,1.9,0.2,3.9,0.2,3.8,0.28,5,0.24,1.2,0.19,1.4,0.24,0.041,1.6,0.078,0.8,0.057,0.9,2.4,3,-0.019,0.065
531,0.8,0.4,23,17,6,3.4,0.29,2.8,0.28,1.9,0.29,2.6,0.17,3.1,0.24,1.9,0.1,0.066,1.1,0.05,1.3,0.023,2,0.8,1.9,-0.192,0.356
439,0.8,0.3,27,22,2,1.1,0.15,2.9,0.2,2.8,0.2,3.4,0.14,1.1,0.18,2.7,0.25,0.069,0.9,0.023,1.1,0.024,0.6,1,2.1,-0.249,0.386
636,0.7,0.4,22,23,5,4.6,0.16,2.8,0.18,4.6,0.27,3.7,0.28,2.4,0.11,2.9,0.11,0.194,1.8,0.067,1.9,0.092,0.6,2.9,2.1,-0.127,0.281
163,0.8,0.3,16,27,9,4.5,0.18,3.7,0.15,4.5,0.23,4.5,0.28,1.4,0.12,4.6,0.14,0.107,1.3,0.027,0.9,0.045,1.4,0.4,1.1,-0.324,0.447
253,0.8,0.5,24,23,3,3.2,0.15,1.6,0.25,1.9,0.25,2.2,0.22,1.6,0.1,1.2,0.12,0.101,1.4,0.078,1.9,0.097,1.8,0.2,1.8,-0.321,0.486
173,0.9,0.5,12,18,2,4.8,0.22,4.4,0.17,4.3,0.2,3.6,0.16,4.9,0.24,3.4,0.2,0.185,0.8,0.139,1.3,0.001,1.2,1.7,1.1,-0.308,0.384
755,0.6,0.5,30,27,5,2.5,0.29,3.9,0.11,1.5,0.14,2.4,0.17,1.4,0.23,1.8,0.27,0.159,1.2,0.098,1.4,0.073,1.6,0.9,2.7,-0.205,0.296
864,0.7,0.4,11,12,7,4.2,0.29,3.9,0.21,4.4,0.14,1.7,0.22,4,0.12,3.8,0.19,0.105,0.9,0.15,1.6,0.003,1,1.2,2.2,-0.043,0.271
321,0.6,0.3,25,16,9,2.8,0.29,1.8,0.29,2,0.12,2.3,0.1,2.6,0.15,2.1,0.13,0.11,0.5,0.139,1.3,0.056,1.4,1.8,0.6,-0.192,0.393
550,0.9,0.4,16,28,3,4.9,0.28,2.3,0.23,2.5,0.14,3.1,0.12,1.6,0.23,4.4,0.16,0.068,1.6,0.045,1.1,0.084,1.6,2,2.2,-0.166,0.243
965,0.8,0.3,26,21,7,3.6,0.25,1.1,0.21,4,0.15,4.2,0.12,1.2,0.17,2.4,0.14,0.099,1.2,0.09,0.6,0.034,1.9,1.5,3,-0.091,0.425
190,0.6,0.2,12,29,9,4.5,0.17,3.2,0.22,1.9,0.3,2.3,0.23,2,0.16,4.6,0.22,0.198,1.6,0.103,1.7,0.061,0.6,2.5,2.3,-0.357,0.476
112,0.8,0.2,20,13,4,1.1,0.16,3.1,0.16,1.9,0.11,5,0.2,1,0.2,3.8,0.23,0.022,1.5,0.173,1.5,0.089,0.8,1.1,0.5,-0.276,0.456
322,0.9,0.4,26,17,7,1.5,0.26,1.6,0.24,2.2,0.23,1.9,0.25,1.4,0.29,3.7,0.26,0.06,1.6,0.008,0.8,0.077,0.8,2.5,2.8,-0.324,0.576
683,0.6,0.4,21,30,10,4.7,0.14,2.8,0.1,3.3,0.17,1.2,0.11,3,0.26,1.2,0.15,0.041,0.9,0.087,0.6,0.054,2,2.4,0.7,-0.387,0.545
516,0.8,0.4,14,10,5,4.9,0.18,4,0.2,2.9,0.18,3.4,0.1,3.2,0.24,1.3,0.15,0.098,1.7,0.09,1.5,0.077,0.7,0.4,0.2,-0.308,0.502
627,0.9,0.4,28,27,10,3.2,0.24,3.1,0.16,1.2,0.16,1.5,0.29,4.2,0.24,1.5,0.18,0.007,0.9,0.133,1.5,0.066,0.7,1.1,1.5,-0.216,0.335
405,0.7,0.4,30,20,8,3.3,0.26,4.1,0.29,1.1,0.28,1.3,0.24,2.1,0.15,3.4,0.3,0.088,1,0.088,1.9,0.088,0.8,1.3,2.4,-0.189,0.364
738,0.7,0.4,16,24,4,4.6,0.12,2.5,0.16,3,0.16,1.4,0.13,2.6,0.26,1.5,0.22,0.081,1.6,0.073,1,0.02,0.9,1.2,1.3,-0.18,0.294
320,0.9,0.4,23,14,7,3.2,0.18,2,0.14,1.3,0.27,4.9,0.14,3.7,0.27,1.8,0.11,0.074,1.4,0.049,0.9,0.011,1.4,1,0.9,-0.173,0.313
546,0.7,0.3,15,21,5,4.8,0.22,2,0.2,2.9,0.3,4.5,0.11,3.7,0.14,1.8,0.21,0.056,1.3,0.106,1.8,0.08,1.6,2.8,1.7,-0.125,0.388
401,0.7,0.4,11,24,1,1.1,0.26,1.2,0.14,3.9,0.26,2.1,0.21,4.7,0.28,1.4,0.25,0.081,1.1,0.018,1.6,0.059,1.8,1.7,2.6,-0.219,0.204
154,0.6,0.3,27,29,5,1,0.23,2.5,0.21,4.5,0.26,2.1,0.17,3.6,0.14,1.9,0.11,0.111,1.2,0.099,1.8,0.003,2,1,2.8,-0.271,0.382
670,0.6,0.3,21,30,3,1.5,0.2,1.3,0.18,3.7,0.24,1.2,0.19,4.2,0.17,2.8,0.1,0.187,0.9,0.137,1.7,0.037,1.6,2.9,1.3,-0.06,0.247
253,0.6,0.4,19,26,10,1.2,0.12,1.3,0.27,4.2,0.11,1.3,0.26,3.4,0.2,3.9,0.26,0.02,2,0.063,1.7,0.047,1.1,1.1,2,0.011,0.313
658,0.9,0.4,22,20,4,4.5,0.13,2.3,0.12,4.6,0.23,1.8,0.22,1.4,0.2,2.9,0.19,0.018,1.8,0.153,1.5,0.033,1.3,2.7,2.7,-0.044,0.185
235,0.6,0.3,15,13,2,1.4,0.24,3.3,0.22,4.3,0.26,4,0.17,4,0.15,3.9,0.18,0.15,1.7,0.062,1.1,0.049,1.7,2.1,2.2,-0.22,0.537
285,0.8,0.4,29,27,4,1.4,0.14,1.7,0.28,2.9,0.25,1.9,0.21,1.2,0.29,3.9,0.25,0.167,1.9,0.17,0.6,0.027,0.9,1.6,0.2,-0.25,0.365
665,0.8,0.2,22,18,5,4.8,0.22,4.8,0.12,4.6,0.23,3,0.2,4.3,0.18,4,0.11,0.157,1.3,0.197,1.3,0.007,1.7,2.9,1.3,-0.033,0.189
602,0.6,0.3,22,18,4,4.7,0.14,4.7,0.27,1.4,0.23,2.7,0.27,3.7,0.21,2.2,0.17,0.054,1,0.079,1.8,0.053,1.8,0.9,1.9,-0.341,0.468
904,0.5,0.3,17,19,10,1.7,0.11,2.9,0.26,1.8,0.25,2.5,0.13,3.1,0.13,3.2,0.19,0.061,1.4,0.137,0.5,0.017,1.3,0.7,0.9,-0.193,0.391
466,0.8,0.4,10,16,4,2.2,0.28,4.3,0.18,2.7,0.13,2.9,0.19,3.1,0.21,1.9,0.18,0.183,1.7,0.077,1.7,0.097,1.4,2.7,0.5,-0.289,0.432
497,0.7,0.3,19,26,6,3.3,0.22,3.2,0.13,3.2,0.29,3.8,0.12,4.3,0.29,2.3,0.12,0.188,1.8,0.049,1.1,0.062,0.6,2.6,2.7,-0.051,0.387
197,0.8,0.3,19,11,2,1.3,0.19,2.5,0.15,4.4,0.16,3.2,0.14,3.6,0.17,1.8,0.29,0.026,1.7,0.179,0.9,0.034,1.5,2.6,2.3,-0.175,0.265
873,0.7,0.3,10,29,2,4.8,0.14,4.1,0.17,1.7,0.13,2.4,0.27,1.6,0.15,3,0.17,0.081,1.4,0.064,1.8,0.005,1.6,2.3,1.8,-0.228,0.329
571,0.7,0.4,15,26,7,1.3,0.26,1.6,0.25,3.3,0.15,3,0.25,4,0.22,4,0.27,0.035,0.5,0.146,0.6,0.03,0.6,1.1,0.9,-0.064,0.322
996,0.7,0.4,21,27,6,1.1,0.14,4.9,0.13,1.2,0.16,3.6,0.28,3.7,0.3,4.5,0.27,0.193,1.5,0.031,0.8,0.028,1.4,0.5,0.7,-0.063,0.361
391,0.7,0.3,24,14,1,3,0.13,3.6,0.28,1.5,0.27,2.6,0.19,2.6,0.26,4.5,0.25,0.162,0.8,0.143,1.3,0.066,1.2,2.4,0.6,-0.245,0.405
121,0.7,0.4,10,12,6,1.2,0.24,2,0.11,4.9,0.28,3.1,0.12,4.6,0.26,2.6,0.23,0.049,1.9,0.153,1.1,0.012,0.9,2.7,2.7,-0.2,0.413
628,0.6,0.3,25,10,3,1.7,0.17,3.8,0.15,1.4,0.26,4.1,0.13,3.1,0.26,4.8,0.22,0.017,0.9,0.057,0.7,0.079,1.8,1.7,1.7,-0.361,0.399
720,0.9,0.5,19,19,1,3.9,0.26,4.1,0.16,3.6,0.14,4.4,0.16,3.7,0.16,3,0.19,0.093,1.8,0.159,1.5,0.023,0.6,1.3,1.2,-0.299,0.412
575,0.8,0.3,19,20,10,2.1,0.28,1.4,0.24,4.6,0.15,1.4,0.16,4.9,0.18,2.7,0.21,0.004,0.7,0.082,1.8,0.075,1.9,0.6,1.8,-0.165,0.246
739,0.7,0.3,29,26,9,3.2,0.23,1.2,0.29,4.8,0.16,1.9,0.13,1.2,0.29,4.8,0.11,0.073,0.6,0.183,1.6,0.002,0.8,1.9,0.1,-0.002,0.17
693,0.9,0.4,23,29,8,4.9,0.18,3.2,0.2,2.6,0.28,2.4,0.25,1.1,0.21,2.8,0.16,0.18,2,0.179,0.8,0.017,0.7,1.5,1.8,-0.368,0.476
490,0.8,0.2,20,21,6,2.8,0.19,4.7,0.18,4.9,0.27,3.6,0.18,3.9,0.28,2.3,0.1,0.185,1.6,0.128,1.3,0.049,1.4,1.7,0.5,-0.197,0.24
963,0.9,0.4,24,12,6,2.4,0.3,4.8,0.1,2.7,0.21,1.1,0.29,1.5,0.15,1,0.17,0.078,0.6,0.035,1.9,0.007,1.2,3,0.2,-0.416,0.481
973,0.9,0.4,25,23,3,3.4,0.23,1.4,0.11,3.9,0.29,1.3,0.26,4,0.17,3.3,0.29,0.133,1.9,0.157,1.9,0.058,1.2,0.3,0.3,-0.097,0.217
983,0.5,0.2,11,16,10,3.4,0.21,3.1,0.17,1.4,0.22,3.6,0.12,3.1,0.27,1.8,0.12,0.171,0.5,0.124,1.4,0.03,0.6,1.8,1.7,-0.317,0.361
680,0.8,0.4,30,25,8,2,0.19,1.2,0.18,4.2,0.19,4.3,0.15,1.5,0.18,4.5,0.27,0.01,0.9,0.06,1.7,0.008,0.8,0.5,1.3,-0.234,0.393
826,0.6,0.2,28,19,1,1.9,0.2,1.2,0.27,4.2,0.19,2.9,0.27,3.6,0.27,3.8,0.29,0.149,0.7,0.15,1.1,0.002,1.3,2.5,0.4,-0.303,0.426
757,0.7,0.5,17,20,1,1.4,0.1,1,0.27,1.3,0.14,2.7,0.15,3.6,0.15,3.9,0.16,0.055,0.8,0.092,0.6,0.071,1.5,1.4,1.5,-0.267,0.472
699,0.6,0.4,20,11,4,3.3,0.27,1.9,0.3,3.9,0.19,4.2,0.25,3.1,0.15,3.6,0.24,0.017,1.4,0.129,0.6,0.07,0.5,1.3,0.5,-0.138,0.296
811,0.7,0.3,30,23,8,2,0.24,4,0.22,1.1,0.19,3.5,0.11,4.7,0.26,1.1,0.3,0.016,0.9,0.134,0.6,0.038,1.6,1.4,1,-0.106,0.368
868,0.9,0.3,17,10,10,1.8,0.14,1.8,0.22,3.3,0.18,3,0.21,1.8,0.16,1.9,0.2,0.126,1.9,0.058,0.7,0.093,1.8,1.3,1.5,-0.073,0.414
573,0.5,0.2,23,14,7,3.5,0.26,3.5,0.19,2,0.17,4.3,0.11,3.9,0.3,3.5,0.11,0.077,1.7,0.063,1.1,0.011,0.6,1.1,0.5,-0.252,0.35
112,0.5,0.4,28,15,10,2.4,0.22,4.7,0.17,2.2,0.24,2.1,0.28,3.8,0.24,3.7,0.17,0.11,0.5,0.165,1.5,0.07,1.3,0.4,1,-0.153,0.392
760,0.5,0.2,13,27,4,3.9,0.22,1.8,0.2,1.1,0.25,1.8,0.2,4.3,0.12,1.2,0.14,0.089,0.8,0.002,1.2,0.046,0.5,1.9,1.1,-0.031,0.193
554,0.7,0.2,12,27,3,3.1,0.25,4.2,0.11,1.2,0.22,5,0.25,3.6,0.2,3.4,0.29,0.025,1.2,0.027,2,0.052,1.6,0.6,1.6,-0.255,0.342
458,0.5,0.3,11,24,3,3.4,0.25,1.5,0.28,4.3,0.19,1.5,0.11,4.7,0.1,3.7,0.17,0.159,0.9,0.058,1.6,0.056,1.5,3,1.4,-0.158,0.38
396,0.5,0.5,28,25,4,2.9,0.26,4.7,0.29,1.8,0.15,1,0.12,3.7,0.11,3.3,0.19,0.026,1.1,0.068,0.5,0.099,0.7,0.5,1.6,-0.237,0.397
568,0.5,0.2,16,24,2,3.9,0.25,1.5,0.17,3.6,0.22,2.5,0.16,3.9,0.17,1.1,0.11,0.162,1.7,0.178,0.5,0.078,1,1.8,1.1,-0.044,0.446
695,0.9,0.5,11,24,3,1.6,0.11,4.4,0.17,1.9,0.19,3.9,0.16,4.5,0.23,2.4,0.24,0.142,0.5,0,1.2,0.041,1.3,0.5,2.7,-0.233,0.361
199,0.6,0.5,14,17,4,2.8,0.16,4,0.18,4,0.14,1.1,0.11,1.7,0.24,1.4,0.27,0.071,0.5,0.145,1.7,0.063,0.7,0.7,0.8,-0.312,0.415
186,0.6,0.3,15,15,2,2.4,0.12,4.5,0.15,3.4,0.17,4.2,0.14,2,0.18,3,0.15,0.116,1.8,0.092,1.7,0.032,1.9,0.7,0.5,-0.135,0.404
613,0.6,0.4,14,22,7,4,0.17,1.2,0.15,1.3,0.18,4.5,0.16,2.4,0.29,4.2,0.16,0.027,1,0.15,1.5,0.003,1.7,1.6,0.4,-0.252,0.218
659,0.8,0.3,25,23,3,3.8,0.29,2.8,0.15,1.8,0.17,3.9,0.26,2.1,0.17,3.4,0.2,0.163,1.1,0.016,1.6,0.064,1.4,2.3,2.1,0.113,0.26
476,0.8,0.5,24,10,8,2,0.12,4.9,0.18,3.2,0.24,1.2,0.25,3.3,0.18,5,0.28,0.131,0.6,0.011,1.2,0.055,0.7,2.3,2.9,-0.429,0.58
176,0.9,0.4,15,14,6,1,0.16,1.9,0.2,2.9,0.19,4.1,0.23,3.3,0.26,4.7,0.27,0.196,1.1,0.143,1.2,0.008,1.6,2.2,2.7,0.001,0.138
106,0.9,0.4,27,19,7,4.5,0.22,2.4,0.26,3.9,0.16,4.8,0.16,2.7,0.14,3.4,0.23,0.155,1.5,0.175,1.3,0.097,1.6,1.4,0.9,-0.372,0.353
141,0.6,0.5,13,25,3,2.5,0.29,3.2,0.12,1.4,0.25,1.2,0.26,2.3,0.18,2.4,0.2,0.107,0.9,0.027,1.5,0.053,0.7,0.5,0.8,-0.393,0.231
936,0.7,0.3,28,18,1,4.4,0.26,3,0.14,3.4,0.2,2.8,0.17,4.2,0.25,3.6,0.17,0.181,0.7,0.063,1.1,0.039,1,1.2,1.5,-0.24,0.46
256,0.5,0.5,23,29,9,4.9,0.28,3.9,0.26,2,0.12,3.3,0.13,4.9,0.14,1.8,0.15,0.114,1,0.003,0.5,0.018,1.2,2,2.3,-0.283,0.536
834,0.8,0.5,11,26,1,4.3,0.11,4.8,0.1,2,0.25,3.6,0.22,2.8,0.23,4.8,0.24,0.027,0.9,0.159,1.2,0.085,1.6,1.5,0.9,-0.186,0.235
667,0.8,0.4,12,27,4,4.4,0.28,2.6,0.21,2.3,0.13,3.7,0.17,2.2,0.12,4.6,0.11,0.181,1.9,0.188,1.1,0.009,1.3,2.9,2,-0.218,0.363
833,0.6,0.4,18,14,2,1.8,0.24,3.8,0.29,3.9,0.16,4,0.3,1,0.16,4.7,0.17,0.09,0.7,0.107,1.8,0.078,1.8,2.2,1.4,-0.255,0.409
452,0.7,0.3,14,17,9,2.5,0.12,2.1,0.29,2.5,0.19,1.1,0.25,4.9,0.13,3.1,0.12,0.044,1.8,0.094,1.5,0.063,1,1.9,0.5,-0.274,0.328
139,0.8,0.4,17,16,2,2.6,0.15,4.2,0.22,3.4,0.14,3.3,0.22,3.2,0.2,4.2,0.27,0.137,1.6,0.039,1.3,0.073,1.7,0.7,1.1,-0.316,0.448
984,0.8,0.3,27,12,3,2.2,0.19,2.1,0.11,3.9,0.21,3.8,0.17,2.4,0.15,1.1,0.24,0.044,1.6,0.167,0.9,0.002,0.9,1,1.4,-0.054,0.403
533,0.8,0.3,11,28,3,1.9,0.18,4.8,0.12,4.1,0.15,4.9,0.25,1.9,0.27,2.5,0.19,0.065,1.3,0.061,0.6,0.059,1.8,1.6,1.1,-0.153,0.395
217,0.7,0.5,25,18,6,4,0.25,2.8,0.28,1.5,0.26,3.9,0.15,1.3,0.13,4.8,0.27,0.139,1.5,0.122,0.6,0.064,0.9,0.8,0.2,-0.353,0.486
518,0.6,0.2,27,25,4,3.2,0.27,3.1,0.19,3.2,0.27,2.2,0.12,1.7,0.1,3.2,0.23,0.117,0.6,0.037,1.7,0.061,1.9,0.9,0.5,-0.201,0.458
571,0.8,0.5,13,26,3,2,0.25,5,0.13,1.6,0.13,4.6,0.16,3,0.28,4.9,0.17,0.046,0.9,0.025,0.7,0.003,1.1,2.7,0.7,-0.308,0.439
955,0.6,0.5,20,12,7,4.6,0.21,1.1,0.26,3,0.2,4.8,0.24,2.3,0.13,3.6,0.19,0.045,0.5,0.074,0.7,0.011,1.6,2.1,0.1,-0.153,0.407
587,0.7,0.4,26,15,9,4.7,0.2,2.7,0.14,4.4,0.14,1.7,0.12,2.7,0.16,1.8,0.21,0.036,1.3,0.092,1.3,0.099,1.9,2,0.1,-0.145,0.318
633,0.8,0.4,25,11,4,1.1,0.28,2.8,0.23,3.1,0.1,3.6,0.29,2.1,0.22,1.5,0.22,0.077,0.8,0.012,1.5,0.071,2,1.4,2.6,-0.189,0.39
957,0.8,0.3,13,27,4,3.9,0.2,2.6,0.19,1.1,0.29,2.4,0.11,2.9,0.16,3.7,0.28,0.11,1.4,0.09,0.8,0.085,1.2,2.7,2.7,-0.18,0.287
579,0.5,0.5,13,20,9,2.7,0.19,1.3,0.14,1.8,0.29,3.1,0.19,3.7,0.13,3,0.2,0.015,0.9,0.01,1.6,0.052,1.5,1,3,-0.278,0.348
921,0.9,0.4,23,30,4,1.8,0.11,4.2,0.23,3.2,0.24,3.6,0.19,4.2,0.12,4.6,0.18,0.049,1.1,0.192,1.4,0.086,1.3,0.1,0.5,-0.276,0.354
414,0.7,0.4,27,10,10,3.6,0.22,3.2,0.2,2.3,0.22,3.5,0.17,2.2,0.18,1.8,0.26,0.144,0.8,0.04,0.5,0.088,0.8,2.7,2.3,-0.052,0.081
143,0.9,0.2,30,14,7,1.8,0.22,4.7,0.2,1,0.27,1.4,0.17,1.4,0.12,1.2,0.24,0.179,1.5,0.157,0.9,0.067,1.2,1.4,2.4,-0.153,0.347
142,0.9,0.4,28,16,6,4.4,0.18,2.8,0.23,5,0.2,2.3,0.21,2.1,0.13,2.4,0.18,0.025,1.3,0.1,0.7,0.071,1.5,2.4,1.4,-0.323,0.282
110,0.6,0.5,11,30,6,4.9,0.22,4.9,0.21,2.7,0.16,1.6,0.12,3.7,0.11,3.9,0.18,0.084,1.3,0.092,1.9,0.003,2,2.3,2.2,-0.4,0.573
382,0.8,0.5,10,24,4,3.2,0.15,1.2,0.29,1.1,0.2,3,0.23,1.9,0.16,1.4,0.22,0.094,0.5,0.199,1.3,0.089,1.9,1.5,1.9,-0.304,0.494
580,0.6,0.4,28,15,8,2.3,0.25,1.3,0.14,1.4,0.13,3,0.27,2.9,0.28,3.4,0.25,0.058,1.8,0.164,0.7,0.054,1.3,2.8,0.9,-0.075,0.494
178,0.7,0.4,30,15,10,3,0.17,4.4,0.27,4.2,0.18,4.6,0.11,1.8,0.12,4.8,0.13,0.172,0.8,0.16,1.7,0.088,1.9,1,0.2,-0.265,0.402
831,0.6,0.4,17,23,8,3,0.21,2.5,0.29,1.5,0.19,1.6,0.29,3.2,0.12,2.2,0.15,0.173,0.7,0.075,1.7,0.026,0.7,0.1,2.9,-0.103,0.398
847,0.5,0.5,26,27,8,1.8,0.2,3.2,0.24,2,0.24,1.9,0.14,1.6,0.21,2.8,0.16,0.174,1.8,0.033,1.1,0.098,1,0.2,1,-0.163,0.197
367,0.8,0.4,17,26,3,3.7,0.23,3.9,0.24,3.8,0.27,2.7,0.23,1.7,0.22,3.8,0.17,0.171,2,0.066,1.4,0.054,1.3,0.1,0.3,-0.123,0.348
656,0.7,0.3,16,21,4,1.1,0.15,3,0.28,4.6,0.2,1.3,0.26,3.7,0.25,3.6,0.27,0.05,1.7,0.1,1.9,0.007,0.6,1.9,1.7,-0.105,0.376
486,0.6,0.4,11,17,7,1.9,0.14,4.8,0.16,4.8,0.25,2.1,0.11,2.5,0.11,3.2,0.11,0.155,1,0.182,0.8,0.012,1.9,0.5,0.4,-0.326,0.444
901,0.5,0.2,18,16,8,2.7,0.28,4.6,0.25,3.5,0.17,2.6,0.14,2.2,0.11,4.8,0.3,0.186,1.1,0.131,1.5,0.094,1.8,1.2,2.3,-0.297,0.33
215,0.7,0.2,27,26,10,3.9,0.25,1.8,0.14,1.3,0.22,2.9,0.11,2.6,0.28,4.4,0.16,0.032,0.7,0.144,1.6,0.006,0.7,1.1,0.8,-0.303,0.439
491,0.5,0.3,26,25,3,1,0.3,4.2,0.2,3.1,0.16,2.1,0.17,2.3,0.3,2.8,0.3,0.007,1.1,0.104,0.5,0.001,0.8,1.9,0.2,-0.222,0.462
635,0.6,0.4,28,20,7,2.6,0.22,4.4,0.12,2.6,0.12,2.8,0.13,4.2,0.19,1.2,0.12,0.193,1.9,0.099,1.2,0.029,1.2,2.5,1.3,-0.334,0.478
261,0.8,0.4,15,14,1,4.7,0.21,4.8,0.16,3.8,0.28,1.7,0.14,2.7,0.25,3.1,0.24,0.084,1.4,0.099,1.2,0.079,1.9,1.8,0.4,-0.41,0.535
